374400          	2.81641105e+02
378000          	2.81659576e+02
381600          	2.81678011e+02
385200          	2.81696410e+02
388800          	2.81714774e+02
392400          	2.81733103e+02
396000          	2.81751397e+02
399600          	2.81769657e+02
403200          	2.81787883e+02
406800          	2.81806075e+02
410400          	2.81824235e+02
414000          	2.81842361e+02
417600          	2.81860456e+02
421200          	2.81878518e+02
424800          	2.81896548e+02
428400          	2.81914547e+02
432000          	2.81932514e+02
435600          	2.81950451e+02
439200          	2.81968357e+02
442800          	2.81986233e+02
446400          	2.82004079e+02
450000          	2.82021895e+02
453600          	2.82039682e+02
457200          	2.82057440e+02
460800          	2.82075169e+02
464400          	2.82092869e+02
468000          	2.82110541e+02
471600          	2.82128185e+02
475200          	2.82145801e+02
478800          	2.82163390e+02
482400          	2.82180951e+02
486000          	2.82198485e+02
489600          	2.82215992e+02
493200          	2.82233473e+02
496800          	2.82250927e+02
500400          	2.82268355e+02
504000          	2.82285757e+02
507600          	2.82303133e+02
511200          	2.82320483e+02
514800          	2.82337808e+02
518400          	2.82355108e+02
522000          	2.82372383e+02
525600          	2.82389633e+02
529200          	2.82406859e+02
532800          	2.82424060e+02
536400          	2.82441237e+02
540000          	2.82458390e+02
543600          	2.82475519e+02
547200          	2.82492624e+02
550800          	2.82509706e+02
554400          	2.82526765e+02
558000          	2.82543800e+02
561600          	2.82560812e+02
565200          	2.82577802e+02
568800          	2.82594768e+02
572400          	2.82611713e+02
576000          	2.82628635e+02
579600          	2.82645534e+02
583200          	2.82662412e+02
586800          	2.82679267e+02
590400          	2.82696101e+02
594000          	2.82712914e+02
597600          	2.82729704e+02
601200          	2.82746474e+02
604800          	2.82763222e+02
608400          	2.82779949e+02
612000          	2.82796655e+02
615600          	2.82813340e+02
619200          	2.82830005e+02
622800          	2.82846649e+02
626400          	2.82863273e+02
630000          	2.82879876e+02
633600          	2.82896459e+02
637200          	2.82913022e+02
640800          	2.82929565e+02
644400          	2.82946089e+02
648000          	2.82962592e+02
651600          	2.82979076e+02
655200          	2.82995541e+02
658800          	2.83011986e+02
662400          	2.83028412e+02
666000          	2.83044819e+02
669600          	2.83061206e+02
673200          	2.83077575e+02
